Customer Name,Account,Customer Account,Customer_ID
Apotex,15910,"15910,Apotex",1
Bock North America,146230,"146230,Bock North America",2
Chapmans,127966,"127966,Chapmans",3
Ecycle Solutions,146767,"146767,Ecycle Solutions",4
Goreway Power,145729,"145729,Goreway Power",5
H.C. Starck Canada,138111,"138111,H.C. Starck Canada",6
Heat Seal Equipment,58380,"58380,Heat Seal Equipment",7
Magna Plastcoat,91310,"91310,Magna Plastcoat",8
Moteur PM (Saguenay),71980,"71980,Moteur PM (Saguenay)",9
Pepsi,103650,"103650,Pepsi",10
Reinhart,97510,"97510,Reinhart",11
RFP Alma,58005,"58005,RFP Alma",12
RFP Baie-Comeau Sawmill SDO,41885,"41885,RFP Baie-Comeau Sawmill SDO",13
RFP Comtois,41817,"41817,RFP Comtois",14
